Player,Team,Stat,Line
Max Christie,LAL,Pts+Asts,19.5
Max Christie,LAL,Points,9.5
Max Christie,LAL,Pts+Asts,9.5
Max Christie,LAL,Points,14.5
Austin Reaves,LAL,Points,24.5
Kyshawn George,WAS,Pts+Rebs,9.5
Austin Reaves,LAL,Steals,1.5
Max Christie,LAL,Steals,1.5
Max Christie,LAL,Turnovers,0.5
Rui Hachimura,LAL,Turnovers,0.5
Rui Hachimura,LAL,Rebs+Asts,9.5
Rui Hachimura,LAL,Steals,1.5
Jordan Poole,WAS,Pts+Asts,19.5
Carlton Carrington,WAS,Blocked Shots,0.5
Kyle Kuzma,WAS,3-PT Made,0.5
Kyle Kuzma,WAS,Blocked Shots,0.5
Bilal Coulibaly,WAS,Points,17.5
Carlton Carrington,WAS,Pts+Rebs,9.5
Bilal Coulibaly,WAS,Steals,2.5
Bilal Coulibaly,WAS,Blocked Shots,1.5
Carlton Carrington,WAS,Pts+Rebs,19.5
Bilal Coulibaly,WAS,Assists,2.5
Rui Hachimura,LAL,Pts+Rebs+Asts,24.5
Anthony Davis,LAL,Assists,2.5
Max Christie,LAL,Points,7.5
LeBron James,LAL,Pts+Rebs+Asts,49.5
Bilal Coulibaly,WAS,3-PT Made,1.5
Carlton Carrington,WAS,Rebs+Asts,9.5
Bilal Coulibaly,WAS,Pts+Rebs+Asts,24.5
Anthony Davis,LAL,Points,29.5
Austin Reaves,LAL,Points,14.5
Anthony Davis,LAL,3-PT Made,0.5
Rui Hachimura,LAL,Pts+Rebs,14.5
Anthony Davis,LAL,Pts+Rebs+Asts,49.5
Anthony Davis,LAL,Pts+Rebs+Asts,39.5
Jordan Poole,WAS,Steals,1.5
Jordan Poole,WAS,Steals,2.5
Jordan Poole,WAS,Rebounds,4.5
Jordan Poole,WAS,Rebs+Asts,9.5
Jordan Poole,WAS,Steals,0.5
Kyle Kuzma,WAS,Assists,4.5
Kyle Kuzma,WAS,Pts+Asts,24.5
Kyle Kuzma,WAS,Points,22.5
Kyle Kuzma,WAS,Points,19.5
Kyle Kuzma,WAS,Pts+Rebs,24.5
Kyle Kuzma,WAS,Pts+Rebs,29.5
Kyle Kuzma,WAS,Pts+Rebs,19.5
Kyle Kuzma,WAS,Rebounds,7.5
Kyle Kuzma,WAS,Rebs+Asts,11.5
Kyle Kuzma,WAS,Pts+Rebs+Asts,34.5
Kyle Kuzma,WAS,Rebs+Asts,7.5
Kyle Kuzma,WAS,Rebounds,4.5
Kyle Kuzma,WAS,Steals,1.5
Kyshawn George,WAS,Assists,2.5
Kyshawn George,WAS,Assists,3.5
Kyshawn George,WAS,Blocked Shots,0.5
Kyshawn George,WAS,3-PT Made,0.5
Kyshawn George,WAS,Pts+Rebs,14.5
Kyshawn George,WAS,Pts+Asts,14.5
Kyshawn George,WAS,Points,9.5
Kyshawn George,WAS,Pts+Rebs+Asts,19.5
Kyshawn George,WAS,Steals,1.5
Kyshawn George,WAS,Turnovers,0.5
Rui Hachimura,LAL,Pts+Rebs,24.5
Rui Hachimura,LAL,Rebounds,7.5
Rui Hachimura,LAL,Rebounds,4.5
Max Christie,LAL,Points,16.5
Rui Hachimura,LAL,Pts+Asts,19.5
Max Christie,LAL,Pts+Rebs+Asts,14.5
Austin Reaves,LAL,Points,13.5
Max Christie,LAL,Steals,0.5
Kyle Kuzma,WAS,Assists,3.5
Max Christie,LAL,3-PT Made,2.5
LeBron James,LAL,Points,19.5
Max Christie,LAL,Pts+Rebs+Asts,19.5
Kyshawn George,WAS,Rebs+Asts,7.5
Jordan Poole,WAS,Pts+Rebs+Asts,24.5
Jonas Valanciunas,WAS,Assists,2.5
LeBron James,LAL,3-PT Made,1.5
Jordan Poole,WAS,3-PT Made,4.5
Jonas Valanciunas,WAS,Rebs+Asts,7.5
Bilal Coulibaly,WAS,Points,14.5
Austin Reaves,LAL,3-PT Made,1.5
Austin Reaves,LAL,Rebs+Asts,9.5
Corey Kispert,WAS,Points,6.5
Corey Kispert,WAS,Points,14.5
Kyle Kuzma,WAS,Points,11.5
Rui Hachimura,LAL,Assists,2.5
Bilal Coulibaly,WAS,Rebounds,3.5
Carlton Carrington,WAS,Pts+Asts,9.5
Carlton Carrington,WAS,Rebounds,2.5
Austin Reaves,LAL,Pts+Asts,24.5
Max Christie,LAL,Steals,2.5
Max Christie,LAL,Rebounds,4.5
Rui Hachimura,LAL,3-PT Made,2.5
Jordan Poole,WAS,Pts+Rebs+Asts,34.5
Jordan Poole,WAS,Pts+Rebs,19.5
Jordan Poole,WAS,Pts+Asts,34.5
Jordan Poole,WAS,Pts+Asts,29.5
Jordan Poole,WAS,Points,27.5
Jordan Poole,WAS,Blocked Shots,0.5
Kyshawn George,WAS,Rebounds,2.5
Jordan Poole,WAS,Points,29.5
Jordan Poole,WAS,Points,14.5
Jordan Poole,WAS,Assists,3.5
Jonas Valanciunas,WAS,Rebs+Asts,11.5
