Player,Team,Stat,Line
Michael Porter Jr.,DEN,FG Made,5.5
Michael Porter Jr.,DEN,Dunks,0.5
Michael Porter Jr.,DEN,3-PT Attempted,6.0
Michael Porter Jr.,DEN,Points,15.5
Michael Porter Jr.,DEN,3-PT Made,2.5
Michael Porter Jr.,DEN,Pts+Rebs+Asts,22.5
Michael Porter Jr.,DEN,Pts+Asts,16.5
Michael Porter Jr.,DEN,Pts+Rebs,21.5
Michael Porter Jr.,DEN,Rebounds,5.5
Tyrese Maxey,PHI,Assists,6.5
Tyrese Maxey,PHI,Pts+Asts,36.0
Tyrese Maxey,PHI,Rebs+Asts,10.0
Tyrese Maxey,PHI,Points,28.5
Tyrese Maxey,PHI,Rebounds,3.5
Tyrese Maxey,PHI,Pts+Rebs,32.5
Tyrese Maxey,PHI,Pts+Rebs+Asts,39.5
Nikola Jokic,DEN,FG Attempted,18.0
Nikola Jokic,DEN,Offensive Rebounds,3.0
Nikola Jokic,DEN,Defensive Rebounds,10.0
Nikola Jokic,DEN,FG Made,10.5
Nikola Jokic,DEN,Free Throws Made,4.5
Nikola Jokic,DEN,Assists,9.5
Nikola Jokic,DEN,Rebounds,13.0
Nikola Jokic,DEN,Pts+Rebs,40.0
Nikola Jokic,DEN,Pts+Rebs+Asts,49.5
Nikola Jokic,DEN,Pts+Asts,36.5
Nikola Jokic,DEN,Points,27.5
Nikola Jokic,DEN,Rebs+Asts,22.5
Peyton Watson,DEN,Defensive Rebounds,2.5
Peyton Watson,DEN,FG Made,2.5
Peyton Watson,DEN,3-PT Made,0.5
Peyton Watson,DEN,Pts+Rebs,10.5
Peyton Watson,DEN,Pts+Asts,8.5
Peyton Watson,DEN,Rebs+Asts,4.5
Peyton Watson,DEN,Points,7.0
Peyton Watson,DEN,Pts+Rebs+Asts,12.0
Russell Westbrook,DEN,Offensive Rebounds,1.5
Russell Westbrook,DEN,FG Made,5.5
Russell Westbrook,DEN,FG Attempted,11.0
Russell Westbrook,DEN,Defensive Rebounds,4.0
Russell Westbrook,DEN,Pts+Asts,19.5
Russell Westbrook,DEN,Pts+Rebs+Asts,25.0
Russell Westbrook,DEN,Rebs+Asts,11.5
Russell Westbrook,DEN,Blks+Stls,1.5
Russell Westbrook,DEN,Points,13.5
Russell Westbrook,DEN,Assists,6.5
Russell Westbrook,DEN,Rebounds,5.0
Russell Westbrook,DEN,Turnovers,2.5
Russell Westbrook,DEN,Pts+Rebs,19.0
Jamal Murray,DEN,Pts+Rebs+Asts,34.5
Tyrese Maxey,PHI,3-PT Made,4.5
Tyrese Maxey,PHI,Assists,9.5
Russell Westbrook,DEN,Rebounds,7.5
Tyrese Maxey,PHI,Assists,5.5
Nikola Jokic,DEN,Points,21.5
Julian Strawther,DEN,Blocked Shots,0.5
Russell Westbrook,DEN,3-PT Made,2.5
Nikola Jokic,DEN,Pts+Rebs,44.5
Michael Porter Jr.,DEN,Points,20.5
Paul George,PHI,3-PT Made,4.5
Tyrese Maxey,PHI,Pts+Asts,34.5
Paul George,PHI,Assists,6.5
Nikola Jokic,DEN,Assists,12.5
Michael Porter Jr.,DEN,Pts+Rebs,24.5
Aaron Gordon,DEN,Points,14.5
Nikola Jokic,DEN,Pts+Rebs,34.5
Michael Porter Jr.,DEN,Assists,2.5
Michael Porter Jr.,DEN,3-PT Made,1.5
Jamal Murray,DEN,3-PT Made,3.5
Russell Westbrook,DEN,Rebounds,6.5
Tyrese Maxey,PHI,Assists,4.5
Paul George,PHI,Rebounds,5.5
Paul George,PHI,Points,19.5
Paul George,PHI,Assists,5.5
Tyrese Maxey,PHI,Points,23.5
Christian Braun,DEN,Pts+Rebs+Asts,19.5
Nikola Jokic,DEN,Rebounds,14.5
Christian Braun,DEN,Assists,2.5
Julian Strawther,DEN,3-PT Made,2.5
Paul George,PHI,Points,24.5
Michael Porter Jr.,DEN,Turnovers,1.5
Nikola Jokic,DEN,Points,24.5
Russell Westbrook,DEN,Assists,4.5
Eric Gordon,PHI,Blocked Shots,0.5
Russell Westbrook,DEN,Rebounds,4.5
Nikola Jokic,DEN,Points,29.5
Guerschon Yabusele,PHI,Turnovers,1.5
Eric Gordon,PHI,3-PT Made,2.5
Kelly Oubre Jr.,PHI,Points,11.5
Russell Westbrook,DEN,3-PT Made,1.5
Paul George,PHI,3-PT Made,3.5
Russell Westbrook,DEN,Points,9.5
Christian Braun,DEN,Points,9.5
Kelly Oubre Jr.,PHI,Rebounds,4.5
Tyrese Maxey,PHI,Pts+Rebs+Asts,34.5
Jamal Murray,DEN,Pts+Rebs+Asts,24.5
Kelly Oubre Jr.,PHI,Points,19.5
Eric Gordon,PHI,Points,14.5
Tyrese Maxey,PHI,Pts+Rebs,44.5
Guerschon Yabusele,PHI,Points,14.5
Jamal Murray,DEN,Points,14.5
Paul George,PHI,Rebounds,4.5
Tyrese Maxey,PHI,Rebounds,2.5
Eric Gordon,PHI,Steals,0.5
Tyrese Maxey,PHI,Pts+Rebs+Asts,44.5
Tyrese Maxey,PHI,3-PT Made,5.5
Christian Braun,DEN,Points,15.5
Paul George,PHI,Points,29.5
Tyrese Maxey,PHI,Pts+Asts,44.5
Tyrese Maxey,PHI,Points,24.5
Russell Westbrook,DEN,Points,19.5
Peyton Watson,DEN,3-PT Made,1.5
Russell Westbrook,DEN,Pts+Rebs,24.5
Nikola Jokic,DEN,Pts+Asts,39.5
Jamal Murray,DEN,Steals,1.5
Michael Porter Jr.,DEN,Pts+Asts,19.5
Christian Braun,DEN,Pts+Rebs,14.5
Michael Porter Jr.,DEN,Blocked Shots,0.5
Tyrese Maxey,PHI,Points,34.5
Julian Strawther,DEN,Points,5.5
Michael Porter Jr.,DEN,Assists,1.5
Jamal Murray,DEN,Rebounds,4.5
Michael Porter Jr.,DEN,Pts+Asts,14.5
Christian Braun,DEN,Rebounds,5.5
Nikola Jokic,DEN,Assists,7.5
Aaron Gordon,DEN,Turnovers,0.5
Russell Westbrook,DEN,Pts+Rebs,14.5
Russell Westbrook,DEN,Rebounds,3.5
Michael Porter Jr.,DEN,Rebounds,6.5
Aaron Gordon,DEN,Steals,0.5
Nikola Jokic,DEN,Pts+Rebs,49.5
Christian Braun,DEN,Pts+Asts,19.5
Nikola Jokic,DEN,Pts+Asts,44.5
Paul George,PHI,Points,28.5
Guerschon Yabusele,PHI,Points,9.5
Guerschon Yabusele,PHI,Rebounds,4.5
Guerschon Yabusele,PHI,Rebounds,7.5
Kelly Oubre Jr.,PHI,Assists,3.5
Tyrese Maxey,PHI,Points,37.5
Nikola Jokic,DEN,Rebounds,11.5
Michael Porter Jr.,DEN,Rebounds,4.5
Michael Porter Jr.,DEN,3-PT Made,3.5
Jamal Murray,DEN,3-PT Made,1.5
Jamal Murray,DEN,Assists,6.5
Aaron Gordon,DEN,Points,15.5
Jamal Murray,DEN,Pts+Asts,34.5
Jamal Murray,DEN,Rebounds,2.5
Jamal Murray,DEN,Points,24.5
Christian Braun,DEN,Points,14.5
Jamal Murray,DEN,Rebounds,5.5
Aaron Gordon,DEN,Assists,1.5
Nikola Jokic,DEN,Rebounds,16.5
Christian Braun,DEN,Points,7.5
Tyrese Maxey,PHI,Pts+Rebs+Asts,49.5
Tyrese Maxey,PHI,Points,39.5
Tyrese Maxey,PHI,Pts+Asts,39.5
Paul George,PHI,Pts+Rebs+Asts,29.5
Paul George,PHI,Points,15.5
Kelly Oubre Jr.,PHI,3-PT Made,2.5
